date	sample_id	PANGAEA_event	sample	type	gear	lat	lon	numeric_depth	depth_category	Watermass1	Watermass2	depth_or_watermass	sample_title	locus_tag	cycles	reads	clip_id	miseq_ID	seq_fwd	seq_rev	running_id	bottle_id	Niskin_id	PotentialTemperature	PracticalSalinity	InsituTemperature	PrDM	DepSM	Sbeox0_umol/L	Sbeox1_umol/L	FlECO-AFL	CO2_umol/L	CO2_umol/L_umolkg	NO3+NO2_c_mean	NO3+NO2_c_std	NO2_c_mean	NO2_c_std	SiOH4_c_mean	SiOH4_c_std	PO4_c_mean	PO4_c_std	NH4_c_mean	NH4_c_std	TDN_c_mean	TDN_c_std	TDP_c_mean	TDP_c_std	NO3+NO2_c_mean_umolkg	NO3+NO2_c_std_umolkg	NO2_c_mean_umolkg	NO2_c_std_umolkg	SiOH4_c_mean_umolkg	SiOH4_c_std_umolkg	PO4_c_mean_umolkg	PO4_c_std_umolkg	NH4_c_mean_umolkg	NH4_c_std_umolkg	TDN_c_mean_umolkg	TDN_c_std_umolkg	TDP_c_mean_umolkg	TDP_c_std_umolkg
2023-09-14	CTD_282	PS138_190-1	Ice_Station08	seawater	CTD	87.960069	56.850695	10	10	ML	PSW	ML	PS138-190-1-CTD-10-16S	16S	25	87460	PS138-190-1-CTD-10-16S_clip	L9424	PS138-190-1-CTD-10-16S_clip_R1_001.fastq.gz	PS138-190-1-CTD-10-16S_clip_R2_001.fastq.gz	143	21	PS138_190-1-N21	-1.7045	32.31	-1.7044	9.861	9.755	380.99	385.51	0.6897	391.6	381.464	0.209	0.002	-0.023	0.008	2.067	0.003	0.162	0.001	-0.051	0.002	5.038	0.042	0.233	0.002	0.204	0.002	-0.022	0.008	2.021	0.003	0.158	0.001	-0.05	0.002	4.925	0.041	0.228	0.002
2023-09-14	CTD_278	PS138_190-1	Ice_Station08	seawater	CTD	87.960069	56.850695	50	50	UHC	NA	UHC	PS138-190-1-CTD-50-16S	16S	25	58069	PS138-190-1-CTD-50-16S_clip	L9424	PS138-190-1-CTD-50-16S_clip_R1_001.fastq.gz	PS138-190-1-CTD-50-16S_clip_R2_001.fastq.gz	141	12	PS138_190-1-N12	-1.7654	33.472	-1.7645	50.751	50.2	363.91	368.9	0.1136	372	362.031	2.676	0.004	-0.019	0.002	2.797	0.001	0.318	0	-0.079	0.002	6.892	0.003	0.348	0.001	2.614	0.004	-0.019	0.002	2.732	0.001	0.311	0	-0.077	0.002	6.731	0.003	0.34	0.001
2023-09-14	CTD_284	PS138_190-1	Ice_Station08	seawater	CTD	87.960069	56.850695	2	2	ML	PSW	ML	PS138-190-1-CTD-2-16S	16S	25	74297	PS138-190-1-CTD-2-16S_clip	L9424	PS138-190-1-CTD-2-16S_clip_R1_001.fastq.gz	PS138-190-1-CTD-2-16S_clip_R2_001.fastq.gz	144	24	PS138_190-1-N24	-1.7161	32.387	-1.7161	1.709	1.69	380.73	385.03	0.5802	391.6	381.441	0.25	0	-0.013	0.009	2.078	0.001	0.166	0.001	-0.036	0.001	5.094	0.033	0.233	0.003	0.244	0	-0.013	0.009	2.031	0.001	0.162	0.001	-0.035	0.001	4.979	0.032	0.228	0.003
2023-09-14	ICE_54	PS138_178_Coring-001-009	Ice_Station08	ice core	ice_corer	87.92839	60.322501	NA	Ice-TS	NA	NA	Ice-TS	PS138-178-1-ICE-Ice-TS-16S	16S	25	86539	PS138-178-1-ICE-Ice-TS-16S_clip	L95YW	PS138-178-1-ICE-Ice-TS-16S_clip_R1_001.fastq.gz	PS138-178-1-ICE-Ice-TS-16S_clip_R2_001.fastq.gz	244	top section	PS138_Lena_34	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.279	0	0.028	0	0.481	0	0.056	0	0.19	0	1.976	0	0.032	0														
2023-09-14	ICE_50	PS138_178_Coring-014	Ice_Station08	meltpond	hand_pump	87.92839	60.322501	NA	MP	NA	NA	MP	PS138-178-1-ICE-MP-16S	16S	25	96107	PS138-178-1-ICE-MP-16S_clip	L95YW	PS138-178-1-ICE-MP-16S_clip_R1_001.fastq.gz	PS138-178-1-ICE-MP-16S_clip_R2_001.fastq.gz	242		PS138_Lena_32	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.79	0	0.034	0	2.15	0	0.047	0	1.189	0	5.364	0	0.048	0														
2023-09-14	ICE_52	PS138_178_Coring-013	Ice_Station08	under-ice water	hand_pump	87.92839	60.322501	NA	UIW	NA	NA	UIW	PS138-178-1-ICE-UIW-16S	16S	25	123761	PS138-178-1-ICE-UIW-16S_clip	L95YW	PS138-178-1-ICE-UIW-16S_clip_R1_001.fastq.gz	PS138-178-1-ICE-UIW-16S_clip_R2_001.fastq.gz	243		PS138_Lena_31	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.494	0.001	0.038	0.001	2.293	0.005	0.168	0.002	0.89	0.002	6.687	0.01	0.238	0														
2023-09-14	ICE_56	PS138_178_Coring-001-009	Ice_Station08	ice core	ice_corer	87.92839	60.322501	NA	Ice-BS	NA	NA	Ice-BS	PS138-178-1-ICE-Ice-BS-16S	16S	25	38699	PS138-178-1-ICE-Ice-BS-16S_clip	L95YW	PS138-178-1-ICE-Ice-BS-16S_clip_R1_001.fastq.gz	PS138-178-1-ICE-Ice-BS-16S_clip_R2_001.fastq.gz	245	bottom section	PS138_Lena_33	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.515	0.002	0.046	0.003	0.759	0.001	0.113	0.002	1.169	0.007	4.435	0.009	0.088	0.009														
2023-09-14	CTD_296	PS138_193-1	Ice_Station08	seawater	CTD	87.971181	56.369367	1000	1000	AIW	NA	AIW	PS138-193-1-CTD-1000-16S	16S	25	101533	PS138-193-1-CTD-1000-16S_clip	L9424	PS138-193-1-CTD-1000-16S_clip_R1_001.fastq.gz	PS138-193-1-CTD-1000-16S_clip_R2_001.fastq.gz	150	10	PS138_193-1-N10	-0.48765	34.915	-0.4185	1522.576	1500.754	291.54	292.78	-0.0543	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2023-09-14	CTD_298	PS138_193-1	Ice_Station08	seawater	CTD	87.971181	56.369367	500	500	AW2	NA	AW2	PS138-193-1-CTD-500-16S	16S	25	111034	PS138-193-1-CTD-500-16S_clip	L9424	PS138-193-1-CTD-500-16S_clip_R1_001.fastq.gz	PS138-193-1-CTD-500-16S_clip_R2_001.fastq.gz	151	19	PS138_193-1-N19	0.94034	34.886	0.96465	506.5	500.451	295.16	296.12	-0.068	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2023-09-14	CTD_294	PS138_193-1	Ice_Station08	seawater	CTD	87.971181	56.369367	1500	1500	CBDW	EBDW	CBDW	PS138-193-1-CTD-1500-16S	16S	25	134370	PS138-193-1-CTD-1500-16S_clip	L9424	PS138-193-1-CTD-1500-16S_clip_R1_001.fastq.gz	PS138-193-1-CTD-1500-16S_clip_R2_001.fastq.gz	149	8	PS138_193-1-N8	-0.7105	34.921	-0.6123	2032.14	2000.615	285.96	287.13	-0.0549	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
